code,ticker,name,market,sector,size
1301,1301.T,極洋,プライム（内国株式）,水産・農林業,TOPIX Small 1
130A,130A.T,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,医薬品,-
1332,1332.T,ニッスイ,プライム（内国株式）,水産・農林業,TOPIX Mid400
1333,1333.T,Ｕｍｉｏｓ,プライム（内国株式）,水産・農林業,TOPIX Mid400
135A,135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,情報・通信業,-
1375,1375.T,ユキグニファクトリー,プライム（内国株式）,水産・農林業,TOPIX Small 2
1376,1376.T,カネコ種苗,スタンダード（内国株式）,水産・農林業,TOPIX Small 2
1377,1377.T,サカタのタネ,プライム（内国株式）,水産・農林業,TOPIX Small 1
1379,1379.T,ホクト,プライム（内国株式）,水産・農林業,TOPIX Small 2
137A,137A.T,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,情報・通信業,-
1380,1380.T,秋川牧園,スタンダード（内国株式）,水産・農林業,-
1381,1381.T,アクシーズ,スタンダード（内国株式）,水産・農林業,-
1382,1382.T,ホーブ,スタンダード（内国株式）,水産・農林業,-
1383,1383.T,ベルグアース,スタンダード（内国株式）,水産・農林業,-
1384,1384.T,ホクリヨウ,スタンダード（内国株式）,水産・農林業,-
138A,138A.T,光フードサービス,グロース（内国株式）,小売業,-
1401,1401.T,エムビーエス,グロース（内国株式）,建設業,-
1407,1407.T,ウエストホールディングス,スタンダード（内国株式）,建設業,-
1414,1414.T,ショーボンドホールディングス,プライム（内国株式）,建設業,TOPIX Mid400
1417,1417.T,ミライト・ワン,プライム（内国株式）,建設業,TOPIX Mid400
1418,1418.T,インターライフホールディングス,スタンダード（内国株式）,建設業,-
1419,1419.T,タマホーム,プライム（内国株式）,建設業,TOPIX Small 1
141A,141A.T,トライアルホールディングス,グロース（内国株式）,小売業,-
1420,1420.T,サンヨーホームズ,スタンダード（内国株式）,建設業,-
1429,1429.T,日本アクア,プライム（内国株式）,建設業,-
142A,142A.T,ジンジブ,グロース（内国株式）,サービス業,-
1430,1430.T,ファーストコーポレーション,スタンダード（内国株式）,建設業,-
1431,1431.T,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,建設業,-
1433,1433.T,ベステラ,プライム（内国株式）,建設業,-
1434,1434.T,ＪＥＳＣＯホールディングス,スタンダード（内国株式）,建設業,-
1435,1435.T,ｒｏｂｏｔ　ｈｏｍｅ,スタンダード（内国株式）,不動産業,TOPIX Small 2
1436,1436.T,グリーンエナジー＆カンパニー,グロース（内国株式）,建設業,-
1438,1438.T,岐阜造園,スタンダード（内国株式）,建設業,-
143A,143A.T,イシン,グロース（内国株式）,サービス業,-
1443,1443.T,技研ホールディングス,スタンダード（内国株式）,建設業,-
1444,1444.T,ニッソウ,グロース（内国株式）,建設業,-
1446,1446.T,キャンディル,スタンダード（内国株式）,建設業,-
1447,1447.T,ＳＡＡＦホールディングス,グロース（内国株式）,建設業,-
1450,1450.T,ＴＡＮＡＫＥＮ,スタンダード（内国株式）,建設業,-
145A,145A.T,Ｌ　ｉｓ　Ｂ,グロース（内国株式）,情報・通信業,-
146A,146A.T,コロンビア・ワークス,スタンダード（内国株式）,不動産業,-
147A,147A.T,ソラコム,グロース（内国株式）,情報・通信業,-
148A,148A.T,ハッチ・ワーク,グロース（内国株式）,情報・通信業,-
1491,1491.T,中外鉱業,スタンダード（内国株式）,非鉄金属,-
149A,149A.T,シンカ,グロース（内国株式）,情報・通信業,-
150A,150A.T,ＪＳＨ,グロース（内国株式）,サービス業,-
1514,1514.T,住石ホールディングス,スタンダード（内国株式）,鉱業,TOPIX Small 2
1515,1515.T,日鉄鉱業,プライム（内国株式）,鉱業,TOPIX Small 1
1518,1518.T,三井松島ホールディングス,プライム（内国株式）,その他製品,TOPIX Small 1
151A,151A.T,ダイブ,グロース（内国株式）,サービス業,-
153A,153A.T,カウリス,グロース（内国株式）,情報・通信業,-
155A,155A.T,情報戦略テクノロジー,グロース（内国株式）,情報・通信業,-
156A,156A.T,マテリアルグループ,グロース（内国株式）,サービス業,-
157A,157A.T,グリーンモンスター,グロース（内国株式）,サービス業,-
1605,1605.T,ＩＮＰＥＸ,プライム（内国株式）,鉱業,TOPIX Mid400
160A,160A.T,アズパートナーズ,スタンダード（内国株式）,サービス業,-
1662,1662.T,石油資源開発,プライム（内国株式）,鉱業,TOPIX Small 1
1663,1663.T,Ｋ＆Ｏエナジーグループ,プライム（内国株式）,鉱業,TOPIX Small 1
166A,166A.T,タスキホールディングス,グロース（内国株式）,不動産業,-
167A,167A.T,リョーサン菱洋ホールディングス,プライム（内国株式）,卸売業,TOPIX Small 1
168A,168A.T,イタミアート,グロース（内国株式）,その他製品,-
1711,1711.T,ＳＤＳホールディングス,スタンダード（内国株式）,建設業,-
1716,1716.T,第一カッター興業,スタンダード（内国株式）,建設業,TOPIX Small 2
1717,1717.T,明豊ファシリティワークス,スタンダード（内国株式）,サービス業,-
1718,1718.T,美樹工業,スタンダード（内国株式）,建設業,-
1719,1719.T,安藤・間,プライム（内国株式）,建設業,TOPIX Mid400
1720,1720.T,東急建設,プライム（内国株式）,建設業,TOPIX Small 1
