ticker,t0,fwd_max_ret
135A.T,2026-03-04,1.058
1382.T,2022-08-10,1.107
1384.T,2025-04-07,1.084
141A.T,2025-08-14,1.034
1407.T,2025-10-28,1.009
1434.T,2023-10-03,1.009
1434.T,2025-04-07,1.003
1434.T,2025-10-17,1.026
1515.T,2025-07-04,1.009
155A.T,2025-09-03,1.085
153A.T,2026-02-17,1.004
157A.T,2025-11-20,1.064
1518.T,2021-11-05,1.313
1518.T,2023-11-02,1.033
1518.T,2025-04-04,1.048
1514.T,2022-01-31,1.006
1514.T,2022-09-26,1.022
1514.T,2023-05-09,1.026
1514.T,2023-11-08,6.741
1514.T,2025-08-08,1.059
1662.T,2025-07-07,1.107
1605.T,2021-12-02,1.035
1663.T,2023-12-07,1.025
1711.T,2023-08-15,1.126
1723.T,2025-07-03,1.011
1803.T,2025-08-04,1.077
1801.T,2025-07-04,1.062
1811.T,2025-04-07,1.106
1812.T,2025-08-04,1.022
1827.T,2025-08-05,1.044
1844.T,2025-06-13,2.282
186A.T,2025-10-03,1.021
186A.T,2026-04-13,1.153
1871.T,2025-10-14,1.049
1885.T,2025-04-07,1.033
1885.T,2025-10-09,1.204
1893.T,2025-05-27,1.006
1909.T,2024-08-05,1.038
1909.T,2025-04-02,1.024
194A.T,2025-10-09,1.192
1945.T,2025-04-07,1.017
1948.T,2025-06-11,1.177
1948.T,2025-12-15,1.257
1950.T,2025-10-14,1.013
1952.T,2023-11-16,1.075
1952.T,2025-04-04,1.027
1965.T,2024-08-01,1.014
1965.T,2025-03-31,1.061
1963.T,2021-11-30,1.179
1966.T,2023-08-18,1.033
1969.T,2023-10-16,1.038
1975.T,2024-08-05,1.209
198A.T,2025-12-01,1.023
1980.T,2023-10-17,1.021
1980.T,2025-04-07,1.16
2146.T,2023-10-31,1.028
2148.T,2023-11-01,1.074
2162.T,2024-11-12,1.017
2158.T,2021-06-29,3.319
2158.T,2025-04-04,1.08
2160.T,2023-02-22,1.048
2160.T,2023-10-16,1.056
2160.T,2024-08-05,1.338
2160.T,2025-03-26,1.019
2168.T,2023-10-16,1.095
2170.T,2022-04-27,1.011
2195.T,2022-06-09,1.814
2216.T,2023-01-05,1.035
2216.T,2025-03-10,1.014
2307.T,2022-05-24,1.023
2307.T,2023-08-29,1.16
2321.T,2025-02-12,1.175
2321.T,2025-08-27,1.251
2323.T,2023-10-10,1.003
2334.T,2023-03-01,1.023
2334.T,2025-04-02,5.909
2334.T,2025-10-17,1.085
2330.T,2024-02-08,2.29
2330.T,2025-04-01,1.028
2345.T,2021-12-20,1.185
2345.T,2024-06-17,1.0
2345.T,2025-02-26,1.073
2342.T,2025-05-26,1.083
2371.T,2026-02-12,1.021
2385.T,2025-05-28,1.046
2388.T,2021-12-29,1.07
2395.T,2022-01-27,1.008
2432.T,2024-07-22,1.008
2438.T,2021-09-21,1.018
2437.T,2021-11-29,1.177
2437.T,2022-06-07,1.343
2459.T,2024-09-10,1.196
2459.T,2025-05-30,1.0
2469.T,2024-04-05,1.021
2479.T,2021-08-17,1.017
2501.T,2023-07-11,1.028
254A.T,2024-10-30,1.252
2585.T,2025-03-06,1.05
2586.T,2025-02-21,2.065
2652.T,2023-10-17,1.047
2656.T,2023-05-18,1.005
2667.T,2025-12-04,1.089
2673.T,2025-05-16,1.109
2721.T,2025-04-07,1.087
2700.T,2025-05-09,1.913
2726.T,2024-07-05,1.007
2737.T,2025-05-19,1.005
2753.T,2023-10-18,1.001
2760.T,2023-08-07,1.12
2778.T,2022-02-22,1.109
2767.T,2021-11-01,1.092
2767.T,2022-05-12,1.006
2767.T,2022-11-14,1.601
2767.T,2024-08-05,1.292
2780.T,2021-12-01,1.006
2780.T,2023-01-05,1.069
2780.T,2025-11-13,1.026
2788.T,2023-03-03,1.193
2820.T,2023-05-18,1.035
2874.T,2025-11-07,1.068
2934.T,2023-01-24,1.005
2938.T,2025-02-04,1.048
2936.T,2024-07-17,1.207
2962.T,2025-04-07,1.152
2962.T,2025-10-09,1.914
2980.T,2022-05-12,1.256
2980.T,2023-10-19,1.055
2982.T,2025-02-10,1.004
2983.T,2025-10-10,1.022
2986.T,2024-08-05,1.173
2997.T,2024-01-18,1.03
2998.T,2023-10-04,1.024
2998.T,2024-12-10,1.05
3010.T,2023-10-26,1.007
3041.T,2023-05-11,2.962
3053.T,2024-04-17,1.018
3070.T,2025-02-12,1.605
3077.T,2025-09-24,1.131
3083.T,2021-11-01,1.984
3083.T,2022-09-21,1.005
3083.T,2025-11-14,1.002
3093.T,2022-10-11,1.163
3099.T,2023-11-29,1.013
3103.T,2023-12-18,1.018
3103.T,2025-05-21,1.111
3103.T,2025-11-21,11.319
3104.T,2025-10-14,1.03
3106.T,2023-12-08,1.045
3105.T,2025-10-30,1.007
3110.T,2023-02-22,1.049
3110.T,2023-11-01,1.025
3110.T,2025-04-04,1.129
3110.T,2025-10-08,2.792
3132.T,2022-12-22,1.01
3137.T,2025-03-28,1.018
3133.T,2021-12-02,1.0
3133.T,2023-03-28,2.228
3133.T,2023-09-28,1.368
3186.T,2025-04-09,1.058
3185.T,2025-04-04,1.11
3189.T,2021-07-20,1.056
3189.T,2025-05-23,1.661
3205.T,2024-02-01,1.222
3236.T,2025-07-15,1.068
3267.T,2024-08-05,1.123
3271.T,2025-01-16,1.069
3286.T,2023-11-14,1.007
3299.T,2024-08-05,1.135
3326.T,2024-08-05,1.208
3350.T,2024-11-05,2.923
3350.T,2025-05-15,2.196
3377.T,2021-06-18,1.726
3393.T,2022-03-07,1.002
3399.T,2023-07-10,1.038
3399.T,2024-08-05,1.044
3399.T,2025-02-20,1.02
3415.T,2022-12-16,1.003
3415.T,2025-03-18,1.067
3444.T,2025-12-05,1.732
3436.T,2025-04-07,1.325
3436.T,2025-10-27,1.154
3445.T,2025-11-19,1.106
3449.T,2025-10-08,1.084
3449.T,2026-04-16,1.315
3446.T,2022-08-10,1.001
3446.T,2025-08-13,1.009
3452.T,2024-08-05,1.283
3475.T,2025-03-07,1.012
3479.T,2022-01-26,1.0
3480.T,2025-12-05,1.018
3482.T,2021-10-04,1.025
3482.T,2023-10-31,1.008
3486.T,2023-05-16,1.126
3486.T,2024-08-05,1.292
3494.T,2023-11-01,1.035
3491.T,2022-02-21,1.001
3491.T,2025-02-25,1.07
3498.T,2022-04-11,1.014
3498.T,2023-04-04,1.193
3498.T,2023-10-05,1.063
3498.T,2024-08-05,1.386
3498.T,2025-04-07,1.115
3547.T,2025-02-28,1.044
3558.T,2023-10-16,1.006
3561.T,2022-08-09,1.022
