feature,pos_mean,neg_mean,pos_median,neg_median,auc,abs_auc_lift,n_pos,n_neg
atr_pct,0.0531,0.0299,0.0465,0.0253,0.785,0.285,264,1301
range_60,0.4735,0.256,0.3986,0.2074,0.764,0.264,264,1301
rvol_20,0.5863,0.3409,0.4941,0.2826,0.75,0.25,264,1301
px_to_sma25,0.9601,1.0003,0.9343,1.0005,0.313,0.187,264,1301
consec_up_5d,1.3258,1.9231,1.0,2.0,0.333,0.167,264,1301
dist_52w_high,0.6859,0.8041,0.7036,0.8501,0.344,0.156,264,1301
drawdown_252,-0.3141,-0.1959,-0.2964,-0.1499,0.344,0.156,264,1301
px_to_sma50,0.9724,1.0039,0.9305,1.0027,0.355,0.145,264,1301
ret_1m,-0.0169,0.0037,-0.0795,0.0009,0.359,0.141,264,1301
pit_psr,7.3448,1.6034,0.6465,0.2882,0.622,0.122,224,996
above_sma25,0.2689,0.505,0.0,1.0,0.382,0.118,264,1301
vcp,1.0237,0.9313,1.0556,0.934,0.587,0.087,264,1301
above_sma50,0.3447,0.515,0.0,1.0,0.415,0.085,264,1301
near_52w_high,0.197,0.3659,0.0,0.0,0.416,0.084,264,1301
pit_op_margin,-0.1387,0.036,0.0586,0.071,0.423,0.077,217,949
vol_ratio,1.4167,0.9876,0.9851,0.8554,0.573,0.073,264,1301
mkt_above_200,0.6515,0.7886,1.0,1.0,0.431,0.069,264,1301
ret_3m,0.0275,0.0328,-0.0328,0.0181,0.433,0.067,264,1301
pit_roe,-0.058,0.0634,0.0759,0.0902,0.436,0.064,222,996
pit_market_cap,149855958177.4478,96550059051.075,10996070919.1895,15303086754.7607,0.44,0.06,241,1056
ret_12m,0.1806,0.1473,0.03,0.089,0.458,0.042,264,1299
mkt_ret_6m,0.054,0.0745,0.0409,0.0517,0.459,0.041,264,1301
above_sma200,0.4962,0.5765,0.0,1.0,0.46,0.04,264,1301
rs_6m,0.0962,0.004,0.0295,-0.0198,0.539,0.039,264,1301
px_to_sma200,1.0382,1.0358,0.9961,1.0243,0.463,0.037,264,1301
pit_op_growth,0.1383,0.2463,0.205,0.1386,0.531,0.031,133,605
growth_minus_mkt_6m,-0.082,-0.1007,-0.0551,-0.1067,0.531,0.031,264,1301
rs_3m,0.0248,-0.0074,-0.0486,-0.0198,0.471,0.029,264,1301
pit_small_cap,0.7801,0.7282,1.0,1.0,0.526,0.026,241,1056
sma50_slope,0.0214,0.0099,0.0112,0.0076,0.524,0.024,264,1301
sma_aligned,0.4318,0.3958,0.0,0.0,0.518,0.018,264,1301
pit_profit_growth,-3.9375,0.5202,0.1387,0.1428,0.482,0.018,141,627
growth_ret_6m,-0.028,-0.0261,-0.0351,-0.0211,0.489,0.011,264,1301
turnover_trend,1.0779,0.9894,0.9905,0.9622,0.511,0.011,264,1301
ret_6m,0.1502,0.0785,0.0704,0.0444,0.51,0.01,264,1301
at_new_high,0.0682,0.0492,0.0,0.0,0.509,0.009,264,1301
pit_rev_growth,0.1566,0.1409,0.1125,0.0976,0.498,0.002,186,709
rs_12m,0.0979,0.0047,-0.0385,-0.0442,0.5,0.0,264,1299
