rule,group,feature,op,threshold,pos_hit_rate,neg_hit_rate,lift
high_volatility,technical,atr_pct,>=,0.04,0.591,0.192,0.399
deep_drawdown,technical,drawdown_252,<=,-0.25,0.568,0.287,0.281
off_highs,technical,dist_52w_high,<=,0.8,0.633,0.387,0.245
below_sma25,technical,px_to_sma25,<=,1.0,0.731,0.495,0.236
recent_dip,technical,ret_1m,<=,0.0,0.667,0.499,0.168
volume_surge,technical,vol_ratio,>=,1.3,0.345,0.178,0.167
vol_expansion,technical,vcp,>=,1.0,0.561,0.406,0.155
positive_rs,technical,rs_6m,>=,0.1,0.42,0.284,0.136
trend_aligned,technical,sma_aligned,>=,1.0,0.432,0.396,0.036
smallcap_leadership,macro,growth_minus_mkt_6m,>=,0.0,0.269,0.245,0.024
uptrend_200,technical,above_sma200,>=,1.0,0.496,0.576,-0.08
momentum_up,technical,ret_1m,>=,0.0,0.337,0.507,-0.169
near_highs,technical,dist_52w_high,>=,0.85,0.292,0.5,-0.209
